cellId	taskId	executor	launchTime	duration	size	records	appId	stageId
33	25606	mr-11:7	2021/05/06 21:42:35	21	6200000	5345	application_1615435002078_0443	10
72	25649	mr-09:9	2021/05/06 21:42:35	21	9500000	8273	application_1615435002078_0443	10
91	25670	mr-01:11	2021/05/06 21:42:35	20	8700000	7529	application_1615435002078_0443	10
50	25627	mr-09:9	2021/05/06 21:42:35	20	7000000	6064	application_1615435002078_0443	10
82	25658	mr-04:5	2021/05/06 21:42:35	19	5200000	4501	application_1615435002078_0443	10
75	25643	mr-06:8	2021/05/06 21:42:35	19	5500000	4761	application_1615435002078_0443	10
65	25635	mr-08:4	2021/05/06 21:42:35	19	5500000	4747	application_1615435002078_0443	10
76	25646	mr-08:4	2021/05/06 21:42:35	19	6500000	5623	application_1615435002078_0443	10
64	25632	mr-06:8	2021/05/06 21:42:35	19	4300000	3717	application_1615435002078_0443	10
104	25679	mr-04:5	2021/05/06 21:42:35	19	5300000	1	application_1615435002078_0443	10
44	25617	mr-11:7	2021/05/06 21:42:35	19	3700000	3175	application_1615435002078_0443	10
77	25650	mr-11:7	2021/05/06 21:42:35	19	4700000	4039	application_1615435002078_0443	10
31	25599	mr-06:8	2021/05/06 21:42:35	19	3500000	3129	application_1615435002078_0443	10
88	25661	mr-11:7	2021/05/06 21:42:35	19	4200000	3650	application_1615435002078_0443	10
55	25628	mr-11:7	2021/05/06 21:42:35	19	3900000	3376	application_1615435002078_0443	10
28	25605	mr-09:9	2021/05/06 21:42:35	18	4200000	3594	application_1615435002078_0443	10
35	25611	mr-07:3	2021/05/06 21:42:35	18	4000000	3401	application_1615435002078_0443	10
32	25602	mr-08:4	2021/05/06 21:42:35	18	4200000	3627	application_1615435002078_0443	10
83	25660	mr-09:9	2021/05/06 21:42:35	17	2600000	2312	application_1615435002078_0443	10
86	25654	mr-06:8	2021/05/06 21:42:35	17	2300000	1950	application_1615435002078_0443	10
14	25593	mr-01:11	2021/05/06 21:42:35	17	3100000	2659	application_1615435002078_0443	10
25	25604	mr-01:11	2021/05/06 21:42:35	17	2047700	1722	application_1615435002078_0443	10
38	25614	mr-04:5	2021/05/06 21:42:35	17	2400000	2086	application_1615435002078_0443	10
6	25583	mr-09:9	2021/05/06 21:42:35	17	3100000	2648	application_1615435002078_0443	10
94	25671	mr-09:9	2021/05/06 21:42:35	16	2300000	1957	application_1615435002078_0443	10
39	25616	mr-09:9	2021/05/06 21:42:35	16	580300	815	application_1615435002078_0443	10
9	25577	mr-06:8	2021/05/06 21:42:35	16	71100	60	application_1615435002078_0443	10
24	25600	mr-07:3	2021/05/06 21:42:35	16	1302300	1092	application_1615435002078_0443	10
43	25613	mr-08:4	2021/05/06 21:42:35	16	80700	69	application_1615435002078_0443	10
57	25633	mr-07:3	2021/05/06 21:42:35	16	48	1	application_1615435002078_0443	10
0	25573	mr-11:7	2021/05/06 21:42:35	16	14500	13	application_1615435002078_0443	10
60	25636	mr-04:5	2021/05/06 21:42:35	16	48	1	application_1615435002078_0443	10
36	25615	mr-01:11	2021/05/06 21:42:35	16	48	1	application_1615435002078_0443	10
15	25587	mr-03:10	2021/05/06 21:42:35	15	48	1	application_1615435002078_0443	10
26	25598	mr-03:10	2021/05/06 21:42:35	15	19300	17	application_1615435002078_0443	10
12	25586	mr-02:6	2021/05/06 21:42:35	4	0	0	application_1615435002078_0443	10
45	25619	mr-02:6	2021/05/06 21:42:35	4	0	0	application_1615435002078_0443	10
102	25677	mr-02:6	2021/05/06 21:42:35	4	0	0	application_1615435002078_0443	10
103	25678	mr-02:6	2021/05/06 21:42:35	4	0	0	application_1615435002078_0443	10
100	25676	mr-02:6	2021/05/06 21:42:35	4	0	0	application_1615435002078_0443	10
7	25579	mr-12:2	2021/05/06 21:42:35	4	0	0	application_1615435002078_0443	10
51	25623	mr-12:2	2021/05/06 21:42:35	4	0	0	application_1615435002078_0443	10
73	25645	mr-12:2	2021/05/06 21:42:35	4	0	0	application_1615435002078_0443	10
95	25667	mr-12:2	2021/05/06 21:42:35	4	0	0	application_1615435002078_0443	10
84	25656	mr-12:2	2021/05/06 21:42:35	4	0	0	application_1615435002078_0443	10
107	25673	mr-12:2	2021/05/06 21:42:35	3	0	0	application_1615435002078_0443	10
109	25675	mr-12:2	2021/05/06 21:42:35	3	0	0	application_1615435002078_0443	10
34	25608	mr-02:6	2021/05/06 21:42:35	3	10200000	2	application_1615435002078_0443	10
125	25680	mr-02:6	2021/05/06 21:42:36	3	0	0	application_1615435002078_0443	10
89	25663	mr-02:6	2021/05/06 21:42:35	3	10000000	2	application_1615435002078_0443	10
108	25674	mr-12:2	2021/05/06 21:42:35	3	5600000	2	application_1615435002078_0443	10
78	25652	mr-02:6	2021/05/06 21:42:35	2	8700000	2	application_1615435002078_0443	10
62	25634	mr-12:2	2021/05/06 21:42:35	2	8199999.999999999	2	application_1615435002078_0443	10
147	25683	mr-02:6	2021/05/06 21:42:37	2	0	0	application_1615435002078_0443	10
12	25705	mr-02:13	2021/05/06 21:42:42	1	0	0	application_1615435002078_0443	10
156	25703	mr-02:13	2021/05/06 21:42:42	1	0	0	application_1615435002078_0443	10
125	25706	mr-02:13	2021/05/06 21:42:42	1	0	0	application_1615435002078_0443	10
149	25700	mr-02:13	2021/05/06 21:42:42	1	0	0	application_1615435002078_0443	10
102	25698	mr-02:13	2021/05/06 21:42:42	1	0	0	application_1615435002078_0443	10
45	25702	mr-02:13	2021/05/06 21:42:42	1	0	0	application_1615435002078_0443	10
100	25704	mr-02:13	2021/05/06 21:42:42	1	0	0	application_1615435002078_0443	10
147	25699	mr-02:13	2021/05/06 21:42:42	1	0	0	application_1615435002078_0443	10
149	25684	mr-02:6	2021/05/06 21:42:38	1	0	0	application_1615435002078_0443	10
103	25701	mr-02:13	2021/05/06 21:42:42	1	0	0	application_1615435002078_0443	10
109	25692	mr-12:12	2021/05/06 21:42:41	1	0	0	application_1615435002078_0443	10
95	25694	mr-12:12	2021/05/06 21:42:41	1	0	0	application_1615435002078_0443	10
107	25696	mr-12:12	2021/05/06 21:42:41	1	0	0	application_1615435002078_0443	10
153	25690	mr-12:12	2021/05/06 21:42:41	1	0	0	application_1615435002078_0443	10
73	25693	mr-12:12	2021/05/06 21:42:41	1	0	0	application_1615435002078_0443	10
7	25691	mr-12:12	2021/05/06 21:42:41	1	0	0	application_1615435002078_0443	10
145	25695	mr-12:12	2021/05/06 21:42:41	1	0	0	application_1615435002078_0443	10
84	25697	mr-12:12	2021/05/06 21:42:41	1	0	0	application_1615435002078_0443	10
