geoid	n_total_pop	n_white_under_15	p_white_under_15
42101020600	2068.0	30.0	1.4506769825918762
42101020700	5672.0	524.0	9.23836389280677
42101020800	2303.0	73.0	3.1697785497177597
42101020900	2949.0	225.0	7.62970498474059
42101021000	4944.0	333.0	6.735436893203883
42101021100	2289.0	233.0	10.179117518567061
42101021200	2141.0	221.0	10.322279308734236
42101021300	3197.0	383.0	11.97998123240538
42101021400	3229.0	136.0	4.211830288014865
42101021500	3541.0	223.0	6.297656029370234
42101021600	1850.0	201.0	10.864864864864865
42101021700	6106.0	647.0	10.596134949230265
42101021800	4194.0	632.0	15.069146399618502
42101021900	1421.0	147.0	10.344827586206897
42101022000	1785.0	151.0	8.4593837535014
42101023100	1181.0	186.0	15.749364944961897
42101023500	1223.0	110.0	8.994276369582993
42101023600	3099.0	288.0	9.293320425943854
42101023700	4868.0	83.0	1.7050123253903042
42101023800	4647.0	145.0	3.1202926619324294
42101023900	1472.0	15.0	1.0190217391304348
42101024000	3799.0	307.0	8.081073966833378
42101024100	1101.0	2.0	0.18165304268846502
42101024200	4230.0	0.0	0.0
42101024300	4611.0	84.0	1.8217306441119063
42101024400	3104.0	8.0	0.25773195876288657
42101024500	3578.0	0.0	0.0
42101024600	2829.0	60.0	2.1208907741251326
42101024700	4589.0	27.0	0.5883634778818915
42101024800	2177.0	4.0	0.18373909049150206
42101024900	3860.0	0.0	0.0
42101025200	7877.0	81.0	1.0283102704075155
42101025300	4086.0	28.0	0.6852667645619187
42101025400	4449.0	108.0	2.4275118004045853
42101025500	2885.0	175.0	6.065857885615252
42101025600	2816.0	172.0	6.107954545454546
42101025700	3147.0	381.0	12.106768350810295
42101025800	1594.0	0.0	0.0
42101025900	4439.0	0.0	0.0
42101026000	2827.0	29.0	1.0258224266006368
42101026100	2793.0	0.0	0.0
42101026200	4695.0	0.0	0.0
42101026301	4071.0	0.0	0.0
42101026302	5380.0	0.0	0.0
42101026400	5350.0	0.0	0.0
42101026500	4745.0	0.0	0.0
42101026600	6573.0	0.0	0.0
42101026700	6470.0	108.0	1.6692426584234932
42101026800	5140.0	1.0	0.019455252918287938
42101026900	2124.0	0.0	0.0
42101027000	2254.0	50.0	2.218278615794144
42101027100	3101.0	26.0	0.8384392131570461
42101027200	4476.0	0.0	0.0
42101027300	7046.0	17.0	0.24127164348566565
42101027401	3173.0	29.0	0.9139615505830444
42101027402	7546.0	11.0	0.1457725947521866
42101027500	4576.0	36.0	0.7867132867132868
42101027600	4069.0	9.0	0.22118456623248955
42101027700	4910.0	52.0	1.0590631364562118
42101027800	4726.0	0.0	0.0
42101027901	4892.0	0.0	0.0
42101027902	4574.0	0.0	0.0
42101028000	4378.0	0.0	0.0
42101028100	3361.0	0.0	0.0
42101028200	5399.0	86.0	1.5928875717725506
42101028300	6228.0	0.0	0.0
42101028400	4446.0	0.0	0.0
42101028500	2326.0	0.0	0.0
42101028600	7741.0	36.0	0.4650561942901434
42101028700	2475.0	0.0	0.0
42101028800	4783.0	164.0	3.428810370060632
42101028901	4254.0	24.0	0.5641748942172073
42101028902	7192.0	92.0	1.2791991101223583
42101029000	6439.0	26.0	0.40378940829321325
42101029100	3905.0	40.0	1.0243277848911652
42101029200	3234.0	17.0	0.525664811379097
42101029300	2834.0	58.0	2.046577275935074
42101029400	3600.0	7.0	0.19444444444444445
42101029800	4804.0	285.0	5.9325562031640295
42101029900	4247.0	85.0	2.001412761949611
42101030000	7758.0	65.0	0.8378448053622067
42101030100	5490.0	214.0	3.897996357012751
42101030200	6806.0	28.0	0.4114017043784896
42101030501	5041.0	29.0	0.5752826820075382
42101030502	6174.0	184.0	2.9802397149335924
42101030600	7403.0	401.0	5.416722950155342
42101030700	3949.0	258.0	6.533299569511268
42101030800	4913.0	187.0	3.8062283737024223
42101030900	4656.0	188.0	4.037800687285223
42101031000	7951.0	636.0	7.998993837253175
42101031101	4788.0	146.0	3.0492898913951545
42101031102	4265.0	81.0	1.899179366940211
42101031200	4716.0	83.0	1.7599660729431723
42101031300	6337.0	199.0	3.1402872021461263
42101031401	6783.0	219.0	3.228659885006634
42101031402	5796.0	641.0	11.05935127674258
42101031501	5872.0	903.0	15.378065395095367
42101031502	3700.0	638.0	17.243243243243242
42101031600	5944.0	910.0	15.309555854643339
42101031700	5885.0	200.0	3.3984706881903146
42101031800	3634.0	153.0	4.210236653824986
42101031900	4670.0	219.0	4.689507494646681
42101032000	7501.0	806.0	10.74523396880416
42101032100	4637.0	437.0	9.424196678887212
42101032300	3129.0	243.0	7.766059443911794
42101032500	6020.0	533.0	8.853820598006644
42101032600	6741.0	621.0	9.212283044058744
42101032900	4209.0	261.0	6.2009978617248755
42101033000	8327.0	757.0	9.090909090909092
42101033101	5158.0	825.0	15.99457153935634
42101033102	3978.0	692.0	17.39567621920563
42101033200	2728.0	532.0	19.501466275659823
42101033300	4315.0	369.0	8.551564310544611
42101033400	5098.0	203.0	3.9819537073362103
42101033500	3825.0	321.0	8.392156862745098
42101033600	7249.0	838.0	11.56021520209684
42101033701	4841.0	625.0	12.910555670316052
42101033702	5335.0	538.0	10.084348641049672
42101033800	6318.0	598.0	9.465020576131687
42101033900	3048.0	420.0	13.779527559055119
42101034000	3111.0	349.0	11.218257794921248
42101034100	6299.0	929.0	14.748372757580569
42101034200	3363.0	251.0	7.463574189711567
42101034400	7657.0	782.0	10.212877105916156
42101034501	3797.0	152.0	4.0031603897814065
42101034502	4954.0	492.0	9.931368591037545
42101034600	2539.0	104.0	4.096100827097282
42101034701	6546.0	529.0	8.081271005194012
42101034702	4347.0	625.0	14.377731769036117
42101034801	4172.0	520.0	12.464046021093
42101034802	5109.0	495.0	9.688784497944804
42101034803	4741.0	580.0	12.23370596920481
42101034900	6312.0	819.0	12.975285171102662
42101035100	3310.0	94.0	2.8398791540785497
42101035200	4677.0	478.0	10.220226641009193
42101035301	5311.0	751.0	14.140463189606479
42101035302	4517.0	655.0	14.500774850564536
42101035500	7094.0	893.0	12.588102621934027
42101035601	5092.0	399.0	7.835820895522389
42101035602	3570.0	317.0	8.879551820728292
42101035701	4578.0	413.0	9.021406727828746
42101035702	3941.0	589.0	14.945445318447096
42101035800	6061.0	570.0	9.404388714733543
42101035900	5159.0	492.0	9.536731924791626
42101036000	2839.0	190.0	6.692497358224728
42101036100	4216.0	528.0	12.523719165085389
42101036201	4975.0	545.0	10.954773869346733
42101036202	6415.0	908.0	14.154325798908808
42101036203	4800.0	747.0	15.562500000000002
42101036301	3778.0	414.0	10.958178930651139
42101036302	3510.0	248.0	7.065527065527065
42101036303	6497.0	1018.0	15.66877020163152
42101036400	363.0	0.0	0.0
42101036501	5758.0	943.0	16.377214310524487
42101036502	4132.0	758.0	18.344627299128753
42101036600	1518.0	37.0	2.437417654808959
42101036700	2304.0	136.0	5.902777777777778
42101036900	5666.0	59.0	1.0412989763501588
42101037200	4271.0	303.0	7.094357293373917
42101037300	4794.0	378.0	7.88485607008761
42101037500	4215.0	166.0	3.938315539739027
42101037600	2306.0	103.0	4.466608846487424
42101037700	5158.0	27.0	0.5234587049243893
42101037800	1937.0	162.0	8.363448631905007
42101037900	4549.0	423.0	9.298746977357661
42101038000	2331.0	259.0	11.11111111111111
42101038100	825.0	76.0	9.212121212121211
42101038200	2627.0	138.0	5.25314046440807
42101038300	3533.0	31.0	0.8774412680441551
42101038400	2438.0	380.0	15.586546349466776
42101038500	1822.0	248.0	13.611416026344674
42101038600	1485.0	176.0	11.851851851851853
42101038700	2207.0	206.0	9.333937471681015
42101038800	3357.0	228.0	6.79177837354781
42101038900	3262.0	0.0	0.0
42101039000	7519.0	125.0	1.6624551137119297
42101980000	1087.0	0.0	0.0
42101980100	51.0	0.0	0.0
42101980200	242.0	0.0	0.0
42101980300	0.0	0.0	
42101980400	0.0	0.0	
42101980500	0.0	0.0	
42101980600	0.0	0.0	
42101980700	0.0	0.0	
42101980800	0.0	0.0	
42101980900	4.0	0.0	0.0
42101989100	4985.0	0.0	0.0
